term,estimate,std.error,statistic,p.value,conf.low,conf.high
month_of_yearAug,-0.01772606297622755,0.018731162918464706,-0.9463407612964407,0.343977790579409,-0.0544390470115702,0.0189869210591151
month_of_yearDec,-0.09637925986123061,0.015495938900096352,-6.2196463526731725,5.008369828964873e-10,-0.1267512212780561,-0.06600729844440512
month_of_yearFeb,-0.0830366653660918,0.015304725417808624,-5.425557342536187,5.794830378391496e-8,-0.11303384933033044,-0.053039481401853175
month_of_yearJan,-0.08474171004949543,0.0153846134404764,-5.5082118492846135,3.636569310952856e-8,-0.114895474131775,-0.05458794596721586
month_of_yearJul,-0.05040526506335887,0.0187755277578687,-2.6846257380027234,0.007262666564994539,-0.08720520395825077,-0.01360532616846697
month_of_yearJun,2.2891764476435468e-4,0.018859573323696217,0.012138007622724413,0.9903155404921187,-0.03673575013161228,0.03719358542114099
month_of_yearMar,-0.10737999241016848,0.015263739993513655,-7.034972585735851,2.0096115486218755e-12,-0.13729684515128057,-0.0774631396690564
month_of_yearMay,-0.02973686053961393,0.018964585875205327,-1.568020558703182,0.11688045959510618,-0.0669073523827528,0.007433631303524948
month_of_yearNov,-0.07734263279673563,0.015626845371936822,-4.949343962642002,7.462152487632212e-7,-0.10797117023245126,-0.04671409536102
month_of_yearOct,-0.08238297496271482,0.015793514207676388,-5.216253575956695,1.8305118485946275e-7,-0.11333818246864077,-0.05142776745678888
month_of_yearSep,-0.036458013184969267,0.01869139076968972,-1.9505243689030463,0.05111728863020237,-0.07309304401103264,1.7701764109410295e-4
